sales_rep_id,rep_name,territory_region,country
1,Yusuf Nakato,Lake Zone,Tanzania
2,David Wanjiru,Dar Region,Tanzania
3,Esther Achieng,Northern Uganda,Uganda
4,Amina Achieng,Rift Valley,Kenya
5,David Juma,Dar Region,Tanzania
6,Cynthia Ssali (6),Lake Zone,Tanzania
7,Yusuf Ochieng,Rift Valley,Kenya
8,Hassan Nakato,Central Kenya,Kenya
9,Grace Wanjiru,Rift Valley,Kenya
10,David Mushi,Kampala Central,Uganda
11,Kevin Kimani,Northern Uganda,Uganda
12,Robert Kamau (12),Northern Uganda,Uganda
13,Esther Mbeki,Lake Zone,Tanzania
14,Cynthia Ssali (14),Western Kenya,Kenya
15,Sarah Kamau,Western Kenya,Kenya
16,Nancy Nyerere,Central Kenya,Kenya
17,Peter Juma,Kampala Central,Uganda
18,Hassan Nyerere,Dar Region,Tanzania
19,Brian Wanjiru (19),Western Uganda,Uganda
20,Felix Kimani,Kampala Central,Uganda
21,Peter Kimani,Central Kenya,Kenya
22,Grace Mushi (22),Western Uganda,Uganda
23,James Juma,Western Kenya,Kenya
24,Cynthia Achieng,Western Uganda,Uganda
25,Grace Mushi (25),Dar Region,Tanzania
26,Tom Wanjiru (26),Northern Tanzania,Tanzania
27,Violet Ssali,Western Kenya,Kenya
28,Cynthia Mbeki (28),Dar Region,Tanzania
29,James Kigongo,Coast,Kenya
30,Linda Mwangi,Western Uganda,Uganda
31,Kevin Nakato,Rift Valley,Kenya
32,Violet Otieno,Central Kenya,Kenya
33,Linda Juma,Western Kenya,Kenya
34,Grace Kigongo,Coast,Kenya
35,David Ssali,Dar Region,Tanzania
36,Amina Mushi (36),Northern Uganda,Uganda
37,Wilson Kigongo,Kampala Central,Uganda
38,Tom Wanjiru (38),Lake Zone,Tanzania
39,Felix Wafula,Western Uganda,Uganda
40,Queen Kariuki,Coast,Kenya
41,Felix Nyerere,Central Kenya,Kenya
42,Queen Otieno,Central Kenya,Kenya
43,Violet Wanjiru,Northern Uganda,Uganda
44,David Kimani,Kampala Central,Uganda
45,Felix Mbeki,Coast,Kenya
46,Grace Nakato,Nairobi Metro,Kenya
47,Brian Wanjiru (47),Central Kenya,Kenya
48,Esther Nakato,Western Kenya,Kenya
49,Hassan Otieno,Western Kenya,Kenya
50,Uwase Ochieng,Dar Region,Tanzania
51,Amina Nyerere,Lake Zone,Tanzania
52,Peter Mwangi,Nairobi Metro,Kenya
53,Felix Kamau,Western Kenya,Kenya
54,Queen Mushi,Coast,Kenya
55,Nancy Achieng,Lake Zone,Tanzania
56,Linda Ssali,Rift Valley,Kenya
57,James Kimani,Northern Tanzania,Tanzania
58,Violet Kigongo,Dar Region,Tanzania
59,Wilson Otieno,Central Kenya,Kenya
60,James Mbeki,Coast,Kenya
61,Yusuf Wafula,Coast,Kenya
62,Yusuf Ssali,Nairobi Metro,Kenya
63,Brian Kariuki,Northern Uganda,Uganda
64,Queen Wanjiru,Western Kenya,Kenya
65,Hassan Mushi,Dar Region,Tanzania
66,Robert Mbeki,Coast,Kenya
67,Linda Kariuki,Western Kenya,Kenya
68,Queen Juma,Western Kenya,Kenya
69,Queen Nakato,Coast,Kenya
70,Irene Juma (70),Central Kenya,Kenya
71,Robert Kamau (71),Rift Valley,Kenya
72,David Mbeki,Kampala Central,Uganda
73,David Kigongo,Lake Zone,Tanzania
74,Cynthia Ssali (74),Northern Tanzania,Tanzania
75,Moses Juma,Kampala Central,Uganda
76,Brian Mwangi,Northern Tanzania,Tanzania
77,Amina Mushi (77),Western Kenya,Kenya
78,Zainab Mwangi (78),Rift Valley,Kenya
79,Kevin Kariuki,Dar Region,Tanzania
80,Robert Nakato,Kampala Central,Uganda
81,Irene Otieno (81),Central Kenya,Kenya
82,Irene Juma (82),Kampala Central,Uganda
83,Moses Achieng,Nairobi Metro,Kenya
84,Brian Juma,Central Kenya,Kenya
85,Tom Wafula,Central Kenya,Kenya
86,David Otieno,Lake Zone,Tanzania
87,Brian Ssali,Northern Uganda,Uganda
88,Esther Ochieng,Nairobi Metro,Kenya
89,Hassan Wafula,Kampala Central,Uganda
90,Robert Ochieng,Kampala Central,Uganda
91,Irene Otieno (91),Northern Uganda,Uganda
92,James Ssali,Lake Zone,Tanzania
93,Peter Nyerere,Kampala Central,Uganda
94,Moses Kimani,Central Kenya,Kenya
95,Zainab Mwangi (95),Nairobi Metro,Kenya
96,Violet Nakato,Kampala Central,Uganda
97,Hassan Kamau,Nairobi Metro,Kenya
98,Nancy Wanjiru,Coast,Kenya
99,Sarah Kigongo,Northern Uganda,Uganda
100,Cynthia Mbeki (100),Western Uganda,Uganda
